id,name,gender,trading_style,instrument_type,ticker_or_contract,profit_example,profit_category
590,Gabriel Hernandez,Male,Carry Trade,Stock,BRK.B,"$135,731.72",Weekly P&L
591,Owen Rodriguez,Male,Position Trading,Stock,V,1197.23%,Gross P&L
592,Anna Harris,Female,Swing Trading,Stock,NVDA,-53.53%,Unrealized Profit
593,Jackson Alvarez,Male,High Frequency Trading,Stock,AAPL,"$-46,318.79",Net P&L
594,Christopher Murphy,Male,Swing Trading,Futures,GC Dec25,"$160,886.57",Paper Gain
595,Micah Gomez,Male,Mean Reversion,Stock,NFLX,"$160,384.82",Monthly P&L
596,Noah Thomas,Male,High Frequency Trading,Futures,ETH-PERP,"$193,743.05",Net P&L
597,Isabella Sanchez,Female,Position Trading,Stock,MRNA,"$195,528.96",After Fees
598,Christopher Adams,Male,Swing Trading,Stock,PFE,1054.12%,Unrealized Profit
599,Brandon Hill,Male,Swing Trading,Stock,UBER,357.36%,Unrealized Profit
600,Eli Adams,Male,Carry Trade,Stock,KO,"$48,952.08",Net P&L
601,James Howard,Male,Momentum Trading,Options,MSFT 2025-11-21 P 300,"$-27,630.02",Paper Gain
602,Eliza Richardson,Female,Swing Trading,Stock,MRNA,"$111,143.72",Daily P&L
603,Elizabeth Taylor,Female,News Trading,Stock,UNH,821.31%,Net P&L
604,Isaiah Rivera,Male,Swing Trading,Crypto,BNB,"$59,375.00",Gross P&L
605,Anna Harris 582,Female,Trend Following,Stock,HD,478.18%,Monthly P&L
606,Cora Lee,Female,Futures Roll,Stock,NVDA,"$15,837.32",Return (%)
607,Willow Brooks,Female,Mean Reversion,Crypto,DOGE,1201.44%,Return (%)
608,Zoey Adams,Female,Quantitative Trading,Crypto,AVAX,"$120,806.05",Weekly P&L
609,Serenity Torres,Female,Trend Following,Stock,BABA,"$80,800.13",Unrealized Profit
610,Jackson Thompson,Male,Position Trading,Options,TSLA 2025-10-17 P 250,"$-25,311.60",Net of Taxes
611,Bella James,Female,Carry Trade,Stock,PYPL,"$5,180.70",Daily P&L
612,John Wood,Male,Scalping,Stock,UBER,"$109,729.18",Return (%)
613,Savannah Mitchell,Female,Carry Trade,Options,AAPL 2025-12-19 C 180,"$133,575.08",Monthly P&L
614,Jack Gutierrez,Male,High Frequency Trading,Stock,PFE,"$-2,634.90",Before Fees
615,Alice Watson,Female,Options Spreads,Futures,BTC-PERP,1509.2%,Net of Taxes
616,Landon Hughes,Male,Position Trading,Crypto,ATOM,"$-4,900.87",Absolute $
617,Ariel Lee,Female,Futures Roll,Crypto,XRP,1795.22%,Before Fees
618,Sage Mitchell,Non-binary,Options Spreads,Stock,BABA,579.25%,Net P&L
619,Grace Carter,Female,Carry Trade,Crypto,ATOM,"$63,100.87",Absolute $
620,William Torres,Male,Momentum Trading,Crypto,LINK,533.87%,Gross P&L
621,Cameron Green,Non-binary,Carry Trade,Stock,PEP,973.67%,Net of Taxes
622,Skyler Gonzalez,Non-binary,Momentum Trading,Stock,HD,"$41,770.72",Net of Taxes
623,Isaac Hill,Male,Algorithmic Trading,Stock,PG,1419.52%,Weekly P&L
624,Anna Ruiz,Female,Position Trading,Crypto,TRX,"$25,098.31",Daily P&L
625,Audrey Hernandez,Female,News Trading,Options,NVDA 2026-01-21 C 350,812.04%,Monthly P&L
626,Wesley Robinson,Male,Day Trading,Crypto,TRX,1227.61%,Realized Profit
627,James Green,Male,Trend Following,Crypto,SOL,"$5,199.29",Realized Profit
628,Nova Edwards,Female,Scalping,Crypto,XRP,"$22,445.76",Absolute $
629,Ryan Hernandez,Male,Swing Trading,Stock,PFE,"$15,639.49",Absolute $
630,Willow Hughes,Female,Statistical Arbitrage,Stock,NVDA,"$71,965.27",Per Trade Profit
631,Madelyn Ward,Female,High Frequency Trading,Futures,BTC-PERP,"$16,564.27",Absolute $
632,Brayden Lopez,Male,Options Spreads,Stock,MA,"$-2,377.56",Return (%)
633,Sophia Foster,Female,Futures Roll,Stock,HD,824.97%,Monthly P&L
634,Tristan Mitchell 161,Male,Scalping,Crypto,TRX,"$-36,365.50",Net of Taxes
635,Kendall Johnson,Non-binary,Position Trading,Stock,KO,"$67,797.58",Return (%)
636,Luis Ramirez,Male,Carry Trade,Stock,ADBE,"$105,760.50",Paper Gain
637,Clara Williams,Female,Swing Trading,Stock,UBER,"$-34,972.49",Net P&L
638,Samantha Wright,Female,Day Trading,Stock,BABA,"$115,093.21",Per Trade Profit
639,Ariel Campbell 887,Female,Quantitative Trading,Stock,V,"$45,175.30",Daily P&L
640,Andrew Morales,Male,Mean Reversion,Options,AAPL 2025-12-19 C 180,"$191,697.84",Before Fees
641,Taylor Garcia,Non-binary,Pairs Trading,Stock,ADBE,"$48,349.95",Paper Gain
642,Tristan Rivera,Male,High Frequency Trading,Stock,V,1955.03%,Gross P&L
643,Peyton Allen,Female,Carry Trade,Options,AAPL 2025-12-19 C 180,"$35,446.54",Absolute $
644,Emily Sanders,Female,High Frequency Trading,Stock,ORCL,"$93,224.64",Absolute $
645,Payton Nelson,Non-binary,Algorithmic Trading,Stock,NVDA,1120.16%,Per Trade Profit
646,Avery Flores,Female,Momentum Trading,Crypto,ATOM,"$177,250.52",Weekly P&L
647,Ian Lee,Male,Position Trading,Stock,INTC,"$159,880.63",Paper Gain
648,Sloane Green,Female,Options Spreads,Options,MSFT 2025-11-21 P 300,"$136,402.43",Monthly P&L
649,Quinn Scott,Female,Position Trading,Stock,META,"$-43,450.44",Net of Taxes
650,Nevaeh Reed,Female,High Frequency Trading,Crypto,XRP,"$-43,478.88",Unrealized Profit
651,Eliana Moore,Female,Statistical Arbitrage,Crypto,XRP,685.31%,Monthly P&L
652,Jonathan Moore,Male,Swing Trading,Stock,BRK.B,"$192,203.77",Gross P&L
653,Drew Myers,Non-binary,Algorithmic Trading,Crypto,ADA,"$181,775.80",After Fees
654,Anna Ruiz 334,Female,Options Spreads,Options,TSLA 2025-10-17 P 250,"$-39,543.43",Daily P&L
655,Rylee Green,Female,Swing Trading,Stock,PFE,"$62,902.40",Monthly P&L
656,Hannah Gutierrez,Female,Swing Trading,Crypto,DOGE,"$79,031.67",Per Trade Profit
657,Jamie Nguyen,Non-binary,Pairs Trading,Stock,UBER,500.42%,Paper Gain
658,Ian Miller,Male,Momentum Trading,Crypto,ATOM,"$111,525.38",Unrealized Profit
659,Camila White,Female,Momentum Trading,Crypto,ATOM,"$30,865.23",Realized Profit
660,Ryder Alvarez,Male,Scalping,Options,MSFT 2025-11-21 P 300,"$122,929.36",Daily P&L
661,Vivian Sanders,Female,Futures Roll,Stock,GOOGL,79.14%,Daily P&L
662,Giovanni Rogers,Male,Quantitative Trading,Crypto,SOL,"$-39,023.48",Paper Gain
663,Marley James,Non-binary,Momentum Trading,Options,TSLA 2025-10-17 P 250,"$128,011.87",Absolute $
664,Bentley Foster,Male,Mean Reversion,Futures,CL Nov25,"$-17,107.24",Net P&L
665,Zachary Allen,Male,Statistical Arbitrage,Stock,NFLX,"$-48,562.36",After Fees
666,Ryder James,Male,Futures Roll,Stock,MA,"$100,025.53",Net P&L
667,Violet Richardson,Female,Algorithmic Trading,Crypto,TRX,"$-12,935.96",Per Trade Profit
668,Sebastian Jones,Male,Pairs Trading,Crypto,TRX,"$-28,074.33",Unrealized Profit
669,Joseph Lee,Male,Mean Reversion,Crypto,XRP,1473.6%,Return (%)
670,Avery Foster,Non-binary,Quantitative Trading,Stock,HD,1492.73%,Monthly P&L
671,Zoe Stewart,Female,Carry Trade,Stock,NKE,"$53,439.48",Net P&L
672,Serenity Davis,Female,Scalping,Stock,PFE,"$122,163.57",Weekly P&L
673,Kendall Diaz,Non-binary,Carry Trade,Crypto,DOT,"$198,756.08",Return (%)
674,Frankie Reed,Non-binary,Statistical Arbitrage,Stock,PFE,"$-5,023.19",Net of Taxes
675,Jaxon Harris,Male,Futures Roll,Stock,AAPL,147.64%,Monthly P&L
676,Ian Turner,Male,News Trading,Stock,UNH,"$109,375.89",Realized Profit
677,Margaret Torres,Female,Pairs Trading,Stock,AMZN,"$87,498.40",Weekly P&L
678,Tristan Nelson,Male,Day Trading,Stock,PFE,307.43%,Monthly P&L
679,Blake Morris,Male,Momentum Trading,Futures,ES Dec25,"$106,800.12",Monthly P&L
680,Everly Reyes,Female,Swing Trading,Options,MSFT 2025-11-21 P 300,528.62%,Daily P&L
681,Madelyn Morgan,Female,Trend Following,Stock,CRM,1764.86%,Return (%)
682,Mateo Scott,Male,Quantitative Trading,Options,NVDA 2026-01-21 C 350,1669.05%,Net of Taxes
683,Chloe Kim,Female,Pairs Trading,Stock,KO,560.45%,Realized Profit
684,Michael Murphy,Male,Futures Roll,Options,NVDA 2026-01-21 C 350,535.52%,Before Fees
685,Jacob Mitchell,Male,Scalping,Options,TSLA 2025-10-17 P 250,"$-43,766.31",After Fees
686,Skyler Harris,Non-binary,Pairs Trading,Stock,NFLX,200.92%,Monthly P&L
687,Cameron Gray,Male,Swing Trading,Futures,NQ Dec25,"$128,419.35",Before Fees
688,Christopher Garcia,Male,Scalping,Crypto,XRP,"$172,296.47",Unrealized Profit
689,Ariel Myers,Female,Pairs Trading,Stock,CRM,340.68%,Net P&L
690,Mateo Morgan,Male,Position Trading,Stock,DIS,"$-10,626.00",Unrealized Profit
691,Cole Bailey,Male,News Trading,Crypto,ADA,"$17,763.03",Daily P&L
692,Kinsley Young,Female,Trend Following,Stock,V,"$-37,318.45",Realized Profit
693,Hadley Miller,Female,Scalping,Stock,MSFT,"$-5,254.25",Net of Taxes
694,Peyton Ruiz,Female,News Trading,Crypto,XRP,"$154,360.49",Daily P&L
695,Ariana Hernandez,Female,Momentum Trading,Futures,GC Dec25,"$150,587.62",Daily P&L
696,Naomi Flores,Female,Futures Roll,Crypto,DOGE,"$186,862.07",Paper Gain
697,Serenity King,Female,Mean Reversion,Futures,GC Dec25,1296.88%,Weekly P&L
698,Emilia Collins,Female,Statistical Arbitrage,Stock,AMZN,"$69,663.02",Monthly P&L
699,Wesley Hall,Male,Position Trading,Crypto,SOL,"$128,568.27",Unrealized Profit
700,Damian Martinez,Male,Quantitative Trading,Options,MSFT 2025-11-21 P 300,"$9,643.82",Net P&L
701,Eliana Roberts,Female,Options Spreads,Stock,META,814.24%,Weekly P&L
702,Steven Walker,Male,Scalping,Stock,ORCL,1395.01%,Monthly P&L
703,Gabriella Kim,Female,Position Trading,Stock,INTC,269.97%,Absolute $
704,Daniel Mendoza,Male,Trend Following,Options,MSFT 2025-11-21 P 300,"$115,041.19",Unrealized Profit
705,Levi Howard,Male,Day Trading,Futures,ETH-PERP,1287.85%,After Fees
706,Bella Ward,Female,Algorithmic Trading,Crypto,ADA,564.86%,Net of Taxes
707,Hadley Hill,Female,News Trading,Futures,GC Dec25,1123.73%,Net of Taxes
708,Kai Taylor,Non-binary,News Trading,Options,AAPL 2025-12-19 C 180,1932.59%,Realized Profit
709,Willow Anderson,Female,High Frequency Trading,Options,AAPL 2025-12-19 C 180,"$97,540.97",Per Trade Profit
710,Isaiah Phillips,Male,Algorithmic Trading,Stock,INTC,897.23%,Net P&L
711,Addison Turner,Female,Momentum Trading,Stock,ABNB,"$-32,063.50",Realized Profit
712,Jeremiah James,Male,Scalping,Stock,NVDA,"$151,485.40",Monthly P&L
713,Lydia Cox,Female,Mean Reversion,Futures,BTC-PERP,"$56,031.17",Monthly P&L
714,Willow Lewis,Female,Day Trading,Stock,PYPL,"$161,700.97",Net P&L
715,Ellie Evans,Female,News Trading,Futures,BTC-PERP,"$-40,533.74",After Fees
716,Camila Howard,Female,Scalping,Stock,NKE,"$132,823.30",Monthly P&L
717,Ari Reyes,Non-binary,Scalping,Crypto,LINK,"$107,665.71",Per Trade Profit
718,Casey Mendoza,Non-binary,Pairs Trading,Crypto,SHIB,1797.53%,Before Fees
719,Caroline Collins,Female,Trend Following,Crypto,LTC,"$190,145.33",Weekly P&L
720,David Jones,Male,Pairs Trading,Crypto,XRP,1083.78%,Realized Profit
721,Hailey Perez,Female,Pairs Trading,Crypto,AVAX,1211.07%,Gross P&L
722,Sofia Cook,Female,Carry Trade,Stock,KO,"$103,949.44",Gross P&L
723,Emma Patel,Female,Momentum Trading,Stock,TSLA,676.51%,Paper Gain
724,Victor Walker,Male,Swing Trading,Stock,KO,"$-28,899.63",Paper Gain
725,Aria Murphy,Female,Quantitative Trading,Crypto,MATIC,"$60,046.25",Per Trade Profit
726,Brayden Sanders,Male,Carry Trade,Options,AAPL 2025-12-19 C 180,143.59%,Paper Gain
727,Caroline Hill,Female,High Frequency Trading,Stock,MRNA,"$126,401.95",After Fees
728,Kai Parker,Male,Futures Roll,Stock,SQ,"$28,922.16",Before Fees
729,Charlotte Gonzalez,Female,News Trading,Futures,ETH-PERP,806.75%,Per Trade Profit
730,Everly Wright,Female,Carry Trade,Stock,GOOGL,721.42%,Weekly P&L
731,Zoey Sanders,Female,Algorithmic Trading,Crypto,SHIB,"$119,429.54",Paper Gain
732,Noah Gray,Male,Day Trading,Stock,AMZN,"$81,316.07",Per Trade Profit
733,Luke Castillo,Male,Swing Trading,Stock,META,"$-27,014.68",Net of Taxes
734,Grace Kim,Female,Position Trading,Crypto,DOGE,"$101,171.45",Absolute $
735,Sarah Reed,Female,Position Trading,Options,TSLA 2025-10-17 P 250,432.01%,After Fees
736,Evelyn Brooks,Female,Options Spreads,Stock,JPM,1301.92%,Weekly P&L
737,Samuel Jimenez,Male,Swing Trading,Stock,MRNA,"$33,163.68",Realized Profit
738,Victor King,Male,Statistical Arbitrage,Stock,AMZN,321.41%,Absolute $
739,Jeremiah Wilson,Male,Options Spreads,Stock,MRNA,"$110,834.54",After Fees
740,Elizabeth Jones,Female,Carry Trade,Stock,CRM,-60.59%,After Fees
741,Brandon Smith,Male,Quantitative Trading,Futures,ETH-PERP,"$125,013.80",Absolute $
742,Ruby Price,Female,Statistical Arbitrage,Futures,GC Dec25,"$161,012.29",Weekly P&L
743,Harper Cooper,Female,Statistical Arbitrage,Stock,PG,"$83,826.02",Return (%)
744,Joshua Phillips,Male,Scalping,Stock,BABA,"$163,335.52",Return (%)
745,Landon Ross,Male,Algorithmic Trading,Crypto,AVAX,"$-40,167.20",Absolute $
746,Stella Hughes,Female,News Trading,Stock,GOOGL,"$171,303.54",After Fees
747,Avery Jones,Female,High Frequency Trading,Stock,PFE,"$-34,251.84",Before Fees
748,Maya Morgan,Female,Day Trading,Futures,GC Dec25,"$-35,986.39",Weekly P&L
749,Brooklyn Thomas,Female,Futures Roll,Stock,BABA,1727.42%,Before Fees
750,Rowan Robinson,Male,Momentum Trading,Futures,ES Dec25,"$-45,234.25",Net of Taxes
751,Victor Wood,Male,Swing Trading,Stock,TSLA,1623.55%,Unrealized Profit
752,Penelope Ramos,Female,Position Trading,Stock,PEP,"$98,744.35",Net of Taxes
753,Emmett Sanchez,Male,Quantitative Trading,Stock,KO,"$193,963.32",Net of Taxes
754,Emilia Ramirez,Female,Mean Reversion,Crypto,XRP,"$-19,813.63",Paper Gain
755,Penelope Hughes,Female,Futures Roll,Stock,TSLA,"$95,496.45",Paper Gain
756,Beau Watson,Male,Mean Reversion,Crypto,SHIB,"$71,741.87",Realized Profit
757,Michael Price,Male,Pairs Trading,Crypto,ATOM,"$151,852.95",Weekly P&L
758,Sofia Clark,Female,Futures Roll,Stock,JPM,"$184,522.40",Net of Taxes
759,Allison White,Female,Scalping,Crypto,XRP,1543.42%,Return (%)
760,Marcus Walker,Male,Position Trading,Stock,ADBE,1711.74%,Before Fees
761,Elena Foster,Female,Carry Trade,Crypto,ADA,"$-21,830.22",Paper Gain
762,Caroline Murphy,Female,Swing Trading,Stock,ORCL,"$41,048.27",Net P&L
763,Caleb Ward,Male,Swing Trading,Options,MSFT 2025-11-21 P 300,"$-36,885.86",Before Fees
764,Joel Brown,Male,Scalping,Stock,GOOGL,1414.95%,Net of Taxes
765,Savannah Sanchez,Female,Trend Following,Crypto,ATOM,"$-22,466.78",Net P&L
766,Eric Evans,Male,High Frequency Trading,Options,MSFT 2025-11-21 P 300,"$96,273.06",Realized Profit
767,Mila Ramirez,Female,Mean Reversion,Futures,GC Dec25,"$-15,898.85",Daily P&L
768,Nathan Wright,Male,Swing Trading,Stock,NVDA,25.27%,Paper Gain
769,Adrian Collins,Male,Trend Following,Stock,MRNA,"$23,790.38",Paper Gain
770,Leilani Ward,Female,High Frequency Trading,Futures,BTC-PERP,"$164,243.44",After Fees
771,Grace Ramos,Female,Carry Trade,Stock,DIS,"$57,027.59",Monthly P&L
772,Theodore Parker,Male,Momentum Trading,Crypto,ATOM,1786.33%,Absolute $
773,Jordan Stewart,Non-binary,Swing Trading,Crypto,LINK,"$48,580.04",Weekly P&L
774,Ella Edwards,Female,Day Trading,Stock,AMZN,753.9%,Net P&L
775,Jaxon Walker,Male,Day Trading,Crypto,ETH,"$26,209.15",Daily P&L
776,Kinsley Myers,Female,Futures Roll,Crypto,LTC,1735.82%,Absolute $
777,Leo Watson,Male,Day Trading,Stock,BABA,48.47%,Daily P&L
778,William Nguyen,Male,Algorithmic Trading,Stock,JPM,70.01%,Return (%)
779,Mia Rogers,Female,News Trading,Futures,ETH-PERP,133.03%,Return (%)
780,Charlotte Campbell,Female,Scalping,Stock,BABA,"$143,393.88",Paper Gain
781,Reese Cooper,Non-binary,Algorithmic Trading,Stock,NFLX,1497.86%,Return (%)
782,Julian Cook,Male,Swing Trading,Crypto,BNB,"$36,306.65",After Fees
783,Luna Stewart,Female,Pairs Trading,Crypto,AVAX,"$42,036.46",Per Trade Profit
784,Casey Harris,Non-binary,Scalping,Options,MSFT 2025-11-21 P 300,"$174,486.46",Gross P&L
785,Casey Wilson,Non-binary,Momentum Trading,Stock,GOOGL,"$168,748.28",Before Fees
786,Taylor Nguyen,Non-binary,Momentum Trading,Stock,ORCL,"$55,032.49",Daily P&L
787,Zoe Harris,Female,High Frequency Trading,Stock,ABNB,991.2%,Return (%)
788,Ryan Wood,Male,Statistical Arbitrage,Crypto,DOT,"$124,215.90",Monthly P&L
789,Naomi Hill,Female,Pairs Trading,Crypto,ATOM,"$15,001.86",After Fees
790,Anthony Foster,Male,News Trading,Options,TSLA 2025-10-17 P 250,"$189,053.46",Net of Taxes
791,London Torres,Non-binary,Momentum Trading,Stock,TSLA,"$-20,770.67",Return (%)
792,Isla King,Female,Swing Trading,Stock,META,1953.85%,Paper Gain
793,Ezekiel Lee,Male,Day Trading,Crypto,ETH,"$74,854.23",Paper Gain
794,Sage Martin,Non-binary,Trend Following,Stock,PFE,520.67%,Gross P&L
795,Marley Bennett,Non-binary,Futures Roll,Stock,CRM,"$-21,921.09",After Fees
796,Morgan Gray,Non-binary,Day Trading,Crypto,BNB,"$160,219.23",After Fees
797,Theodore Davis,Male,High Frequency Trading,Crypto,ADA,1510.9%,Net P&L
798,Luis Edwards,Male,Quantitative Trading,Crypto,ETH,"$29,439.45",Net of Taxes
799,Mia Bennett,Female,Options Spreads,Stock,NVDA,"$43,207.79",Gross P&L
800,Christopher Edwards,Male,Algorithmic Trading,Options,AAPL 2025-12-19 C 180,832.86%,Absolute $
801,Lillian Lee,Female,Options Spreads,Options,MSFT 2025-11-21 P 300,"$96,795.02",Unrealized Profit
802,Joshua Stewart,Male,Trend Following,Futures,BTC-PERP,"$190,023.82",Weekly P&L
803,Liam Evans,Male,Options Spreads,Crypto,BNB,"$65,529.99",Net of Taxes
804,Avery Sanchez,Female,Pairs Trading,Stock,PG,"$-39,441.77",Monthly P&L
805,Rowan Hill,Male,Futures Roll,Stock,PFE,"$147,804.89",Paper Gain
806,Brandon Brooks,Male,Pairs Trading,Stock,BABA,"$72,971.63",Daily P&L
807,Sophia Thomas,Female,Scalping,Crypto,LTC,"$40,439.88",After Fees
808,Lily Watson,Female,Position Trading,Crypto,DOGE,"$133,239.32",Realized Profit
809,Scarlett Howard,Female,Futures Roll,Stock,UNH,184.54%,Paper Gain
810,Thomas Turner,Male,Swing Trading,Crypto,DOT,"$82,403.08",Unrealized Profit
811,Adeline Watson,Female,Mean Reversion,Stock,GOOGL,"$168,110.78",Monthly P&L
812,Stella Wright,Female,News Trading,Crypto,DOGE,"$95,011.66",Monthly P&L
813,Levi Gutierrez,Male,Statistical Arbitrage,Stock,MRNA,"$180,226.84",Paper Gain
814,Mateo Cook,Male,Position Trading,Stock,META,"$179,007.79",Unrealized Profit
815,Ava Morris,Female,News Trading,Stock,NKE,"$60,484.48",Net of Taxes
816,Leah Thompson,Female,Position Trading,Crypto,BTC,"$164,203.80",Paper Gain
817,Aurora Taylor,Female,Options Spreads,Stock,AMZN,1546.46%,Unrealized Profit
818,Nolan Long,Male,Position Trading,Stock,META,"$114,947.21",Net of Taxes
819,Logan Allen,Male,Day Trading,Stock,V,1542.98%,Net of Taxes
820,Wyatt White,Male,Scalping,Crypto,BTC,"$136,549.50",Gross P&L
821,Emerson Rivera,Non-binary,High Frequency Trading,Stock,ADBE,"$-32,915.74",Monthly P&L
822,Emma Ortiz,Female,Pairs Trading,Stock,META,"$138,504.47",Realized Profit
823,Quinn Ramirez,Non-binary,Statistical Arbitrage,Futures,ETH-PERP,"$97,345.14",After Fees
824,Elizabeth White,Female,Options Spreads,Options,MSFT 2025-11-21 P 300,"$6,888.55",Unrealized Profit
825,Natalie Thomas 479,Female,Statistical Arbitrage,Stock,NVDA,1379.93%,Before Fees
826,Abigail Adams,Female,Pairs Trading,Stock,PG,"$134,043.61",Per Trade Profit
827,Nico Lewis,Non-binary,Options Spreads,Crypto,BNB,"$-32,597.71",Monthly P&L
828,Hadley Mitchell,Female,Statistical Arbitrage,Stock,ORCL,732.38%,Before Fees
829,Abigail Thomas,Female,Position Trading,Stock,PG,1774.1%,Paper Gain
830,Wyatt Baker,Male,Quantitative Trading,Stock,ABNB,"$159,527.28",Daily P&L
831,Sloane Alvarez,Female,Carry Trade,Crypto,XRP,1582.07%,Absolute $
832,Alex Cox,Male,Carry Trade,Futures,GC Dec25,"$63,658.69",Unrealized Profit
833,Easton Robinson,Male,Day Trading,Crypto,SOL,"$-36,786.89",Unrealized Profit
834,Sophia Thompson,Female,Trend Following,Stock,ORCL,"$105,491.69",Unrealized Profit
835,Ariel Long,Female,Futures Roll,Crypto,LTC,"$115,523.31",After Fees
836,Aaliyah Baker,Female,Swing Trading,Options,AAPL 2025-12-19 C 180,1748.26%,Unrealized Profit
837,Andrew Carter,Male,Swing Trading,Stock,MSFT,"$114,852.76",Weekly P&L
838,Miles Perez,Male,Pairs Trading,Stock,NVDA,923.66%,Unrealized Profit
839,Anna James,Female,Statistical Arbitrage,Crypto,LINK,"$163,587.87",Before Fees
840,Gabriel Murphy,Male,News Trading,Crypto,MATIC,497.32%,Realized Profit
841,James Taylor,Male,Day Trading,Options,NVDA 2026-01-21 C 350,1212.82%,Absolute $
842,Asher Rivera,Male,High Frequency Trading,Stock,MSFT,"$112,020.71",Net of Taxes
843,Steven Rodriguez,Male,Trend Following,Options,AAPL 2025-12-19 C 180,"$84,604.20",Realized Profit
844,Claire Reed,Female,Carry Trade,Crypto,MATIC,"$67,424.98",Realized Profit
845,Sasha Kelly,Non-binary,Position Trading,Stock,CRM,110.12%,Per Trade Profit
846,Easton Cook,Male,Mean Reversion,Options,NVDA 2026-01-21 C 350,663.0%,Absolute $
847,Brandon Martinez,Male,Pairs Trading,Options,TSLA 2025-10-17 P 250,"$24,330.07",Net of Taxes
848,Luke Richardson,Male,Position Trading,Crypto,ETH,"$18,341.23",Net of Taxes
849,Caroline Diaz,Female,Scalping,Stock,KO,533.88%,Weekly P&L
850,Sawyer Cooper,Male,Quantitative Trading,Stock,MA,"$78,842.31",Per Trade Profit
851,Chloe Williams,Female,Mean Reversion,Crypto,LINK,"$3,238.20",Monthly P&L
852,Elena Wright,Female,Options Spreads,Futures,BTC-PERP,1425.89%,Realized Profit
853,Addison Reyes,Female,Pairs Trading,Stock,NVDA,761.55%,Monthly P&L
854,Harper Brooks,Female,Carry Trade,Stock,MA,1256.69%,Gross P&L
855,Zoey Phillips,Female,Algorithmic Trading,Stock,NVDA,"$149,261.19",Gross P&L
856,Madelyn Parker,Female,Swing Trading,Stock,UBER,"$18,177.99",Realized Profit
857,Emmett Scott,Male,Swing Trading,Crypto,SOL,920.27%,Realized Profit
858,Mason Green,Male,Scalping,Crypto,TRX,754.71%,Return (%)
859,Emily Gomez,Female,Momentum Trading,Futures,ETH-PERP,"$92,743.34",Before Fees
860,Hunter Bennett,Non-binary,Statistical Arbitrage,Options,NVDA 2026-01-21 C 350,399.96%,Unrealized Profit
861,Natalie Nelson,Female,High Frequency Trading,Options,MSFT 2025-11-21 P 300,357.82%,Unrealized Profit
862,Mateo Cruz,Male,Swing Trading,Stock,ABNB,"$43,676.25",Unrealized Profit
863,Connor Stewart,Male,Momentum Trading,Crypto,BNB,"$128,917.81",Monthly P&L
864,Dominic Cox,Male,Swing Trading,Stock,PFE,1556.49%,Net P&L
865,Charles Flores,Male,News Trading,Crypto,DOGE,1339.02%,Before Fees
866,Isla Roberts,Female,Carry Trade,Stock,PG,"$184,080.60",Weekly P&L
867,John Lee,Male,Trend Following,Futures,ETH-PERP,1510.16%,Absolute $
868,Violet Hernandez,Female,Statistical Arbitrage,Options,MSFT 2025-11-21 P 300,1845.64%,Return (%)
869,Ella Lee,Female,Scalping,Crypto,LINK,"$100,528.99",Monthly P&L
870,Emilia Collins 713,Female,Mean Reversion,Stock,MSFT,1561.14%,Paper Gain
871,Wyatt Watson,Male,Scalping,Stock,CRM,"$12,400.89",Daily P&L
872,Morgan Kim,Non-binary,Trend Following,Crypto,SHIB,"$168,376.46",Paper Gain
873,Tristan Ramos,Male,Algorithmic Trading,Options,NVDA 2026-01-21 C 350,"$41,899.89",Absolute $
874,Kinsley Lewis 23,Female,High Frequency Trading,Futures,BTC-PERP,1945.67%,Net P&L
875,George Perez,Male,Options Spreads,Stock,PYPL,213.43%,Return (%)
876,Ian Thomas,Male,Options Spreads,Stock,ADBE,1849.4%,Monthly P&L
877,Luna Lewis,Female,Carry Trade,Crypto,ADA,"$73,542.04",Paper Gain
878,John Kim,Male,Pairs Trading,Stock,PEP,297.66%,Paper Gain
879,Sebastian Brown,Male,High Frequency Trading,Stock,JPM,1805.39%,Return (%)
880,Sarah Collins,Female,Momentum Trading,Stock,NFLX,1946.24%,Absolute $
881,Vivian Roberts,Female,Carry Trade,Crypto,DOGE,"$89,249.99",Realized Profit
882,Dylan Stewart,Male,Swing Trading,Futures,BTC-PERP,"$76,135.50",Absolute $
883,Josiah Bennett,Male,Swing Trading,Stock,UBER,"$15,072.91",Before Fees
884,Leah Reyes,Female,Options Spreads,Stock,UNH,"$-20,789.49",Realized Profit
885,Dakota Scott,Non-binary,Options Spreads,Crypto,ATOM,"$169,234.10",Net of Taxes
886,Lily Gutierrez,Female,Mean Reversion,Stock,UBER,"$198,641.27",Weekly P&L
887,Charlie James,Non-binary,Swing Trading,Crypto,LTC,"$-36,358.21",Paper Gain
888,Gabriel Lee,Male,Position Trading,Crypto,MATIC,1847.13%,Realized Profit
889,Miles Bailey 498,Male,Momentum Trading,Stock,GOOGL,"$-26,605.53",Monthly P&L
890,Patrick Perez,Male,Carry Trade,Crypto,TRX,"$115,784.42",Net P&L
891,Olivia Ortiz,Female,Options Spreads,Crypto,SOL,416.93%,After Fees
892,Everly Brown,Female,Position Trading,Stock,ORCL,"$97,584.62",Unrealized Profit
893,Aria Brown,Female,Statistical Arbitrage,Stock,PEP,"$188,800.38",Net of Taxes
894,Everly Garcia,Female,Trend Following,Crypto,LTC,1999.62%,Weekly P&L
895,Grace Miller,Female,Trend Following,Options,NVDA 2026-01-21 C 350,1461.98%,Before Fees
896,Sasha Lopez,Non-binary,High Frequency Trading,Stock,TSLA,1717.58%,Unrealized Profit
